branch,block_no,room_no,bench_no,enrollment_no
CSE,B-5,202,12,2303051050308
CSE,B-5,202,22,2303051050963
CSE,B-5,202,3,2303051050536
CSE,B-5,202,13,2303051050005
CSE,B-5,202,23,2303051050811
CSE,B-5,202,4,2303051050225
CSE,B-5,202,14,2303051051245
CSE,B-5,202,24,2303051050890
CSE,B-5,202,5,2303051050611
CSE,B-5,202,15,2303051050475
CSE,B-5,202,25,2303051050362
CSE,B-5,202,6,2303051050660
CSE,B-5,202,16,2303051050238
CSE,B-5,202,26,2303051050262
CSE,B-5,202,7,2303051050803
CSE,B-5,202,17,2303051051178
CSE,B-5,202,27,2303051050466
CSE,B-5,202,8,2303051050920
CSE,B-5,202,18,2303051050949
CSE,B-5,202,28,2303051050023
CSE,B-5,202,9,2303051050322
CSE,B-5,202,19,2303051050945
CSE,B-5,202,29,2303051050939
CSE,B-5,202,10,2303051050797
CSE,B-5,202,20,2303051050663
CSE,B-5,202,30,2303051050402
CSE,B-7,,1,2303051051155
CSE,B-7,,11,2303051050067
CSE,B-7,,21,2303051050852
CSE,B-7,,2,2303051051209
CSE,B-7,,12,2303051050373
CSE,B-7,,22,2303051050469
CSE,B-7,,3,2303051050086
CSE,B-7,,13,2303051050305
CSE,B-7,,23,2303051050320
CSE,B-7,,4,2303051050658
CSE,B-7,,14,2303051050768
CSE,B-7,,24,2303051051021
CSE,B-7,,5,2303051050555
CSE,B-7,,15,2303051051035
CSE,B-7,,25,2303051050789
CSE,B-7,,6,2303051050926
CSE,B-7,,16,2303051050042
CSE,B-7,,26,2303051051347
CSE,B-7,,7,2303051050212
CSE,B-7,,17,2303051050022
CSE,B-7,,27,2303051050542
CSE,B-7,,8,2303051050846
CSE,B-7,,18,2303051050183
CSE,B-7,,28,2303051050509
CSE,B-7,,9,2303051050998
CSE,B-7,,19,2303051050313
CSE,B-7,,29,2303051050573
CSE,B-7,,10,2303051050294
CSE,B-7,,20,2303051050500
CSE,B-7,,30,2403051057063
CSE,B-7,,1,2303051050891
CSE,B-7,,11,2303051050367
CSE,B-7,,21,2303051051113
CSE,B-7,,2,2303051050101
CSE,B-7,,12,2403051057001
CSE,B-7,,22,2303051050871
CSE,B-7,,3,2303051050901
CSE,B-7,,13,2303051050807
CSE,B-7,,23,2303051050785
CSE,B-7,,4,2303051050830
CSE,B-7,,14,2303051050106
CSE,B-7,,24,2303051050967
CSE,B-7,,5,2303051050834
CSE,B-7,,15,2303051051013
CSE,B-7,,25,2303051050009
CSE,B-7,,6,2303051050353
CSE,B-7,,16,2303051050074
CSE,B-7,,26,2303051050630
CSE,B-7,,7,2303051050584
CSE,B-7,,17,2303051050973
CSE,B-7,,27,2303051050160
CSE,B-7,,8,2303051050215
CSE,B-7,,18,2303051050226
CSE,B-7,,28,2303051051059
CSE,B-7,,9,2303051050613
CSE,B-7,,19,2303051051168
CSE,B-7,,29,2303051050882
CSE,B-7,,10,2303051050417
CSE,B-7,,20,2303051050216
CSE,B-7,,30,2303051050401
CSE,B-9,205,1,2303051050317
CSE,B-9,205,11,2303051050176
CSE,B-9,205,21,2303051051288
CSE,B-9,205,2,2303051050531
CSE,B-9,205,12,2303051051192
CSE,B-9,205,22,2303051050154
CSE,B-9,205,3,2303051050910
CSE,B-9,205,13,2303051050478
CSE,B-9,205,23,2303051051017
CSE,B-9,205,4,2303051050221
CSE,B-9,205,14,2303051050354
CSE,B-9,205,24,2303051051321
CSE,B-9,205,5,2303051051058
CSE,B-9,205,15,2303051050290
CSE,B-9,205,25,2303051050590
CSE,B-9,205,6,2303051051250
CSE,B-9,205,16,2303051051304
CSE,B-9,205,26,2303051050997
CSE,B-9,205,7,2303051050391
CSE,B-9,205,17,2303051050153
CSE,B-9,205,27,2303051050032
CSE,B-9,205,8,2303051050128
CSE,B-9,205,18,2303051050645
CSE,B-9,205,28,2303051050652
CSE,B-9,205,9,2303051050970
CSE,B-9,205,19,2303051050079
CSE,B-9,205,29,2303051050149
CSE,B-9,205,10,2303051050066
CSE,B-9,205,20,2303051050480
CSE,B-9,205,30,2203051051151
CSE,B-9,205,1,2303051051265
CSE,B-9,205,11,2303051050295
CSE,B-9,205,21,2303051050873
CSE,B-9,205,2,2303051051206
CSE,B-9,205,12,2303051051090
CSE,B-9,205,22,2303051050471
CSE,B-9,205,3,2303051050381
CSE,B-9,205,13,2303051050230
CSE,B-9,205,23,2303051050205
CSE,B-9,205,4,2303051051189
CSE,B-9,205,14,2303051051166
CSE,B-9,205,24,2303051051173
CSE,B-9,205,5,2303051050239
CSE,B-9,205,15,2303051051167
CSE,B-9,205,25,2303051050078
CSE,B-9,205,6,2303051051144
CSE,B-9,205,16,2303051050432
CSE,B-9,205,26,2303051050274
CSE,B-9,205,7,2403051057127
CSE,B-9,205,17,2303051050957
CSE,B-9,205,27,2303051051125
CSE,B-9,205,8,2303051050363
CSE,B-9,205,18,2303051051261
CSE,B-9,205,28,2303051050961
CSE,B-9,205,9,2303051051254
CSE,B-9,205,19,2303051050904
CSE,B-9,205,29,2303051051312
CSE,B-9,205,10,2303051050372
CSE,B-9,205,20,2303051050777
CSE,B-9,205,30,2303051050863
CSE,B-11,222,1,2303051050340
CSE,B-11,222,11,2303051050607
CSE,B-11,222,21,2303051050047
CSE,B-11,222,2,2403051057093
